"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","262","20","112","84","77","18","2017-01-15 15:00:30"
"2","2.00","263","20","114","84","88","17","2017-01-15 15:00:32"
"3","2.00","265","20","114","84","91","30","2017-01-15 15:00:34"
"4","2.00","266","20","111","84","81","19","2017-01-15 15:00:34"
"5","2.00","268","20","114","85","90","23","2017-01-15 15:00:36"
"6","2.00","270","20","112","84","82","18","2017-01-15 15:00:38"
"7","2.00","272","20","112","84","91","22","2017-01-15 15:00:40"
"8","2.00","274","20","112","85","81","23","2017-01-15 15:00:42"
"9","2.00","275","20","114","84","100","136","2017-01-15 15:00:44"
"10","2.00","281","20","112","84","91","23","2017-01-15 15:00:52"
"11","2.00","289","20","114","83","95","17","2017-01-15 15:01:02"
"12","2.00","290","20","112","84","87","17","2017-01-15 15:01:04"
"13","2.00","291","20","114","84","79","25","2017-01-15 15:01:04"
"14","2.00","292","20","114","85","88","23","2017-01-15 15:01:06"
"15","2.00","293","20","115","85","94","23","2017-01-15 15:01:08"
"16","2.00","294","20","112","84","93","124","2017-01-15 15:01:10"
"17","2.00","297","20","112","84","88","22","2017-01-15 15:01:12"
"18","2.00","300","20","114","84","98","22","2017-01-15 15:01:14"
"19","2.00","301","20","114","84","94","22","2017-01-15 15:01:16"
"20","2.00","304","20","114","84","91","22","2017-01-15 15:01:20"
"21","2.00","306","20","112","84","100","22","2017-01-15 15:01:22"
"22","2.00","307","20","112","83","102","315","2017-01-15 15:01:24"
"23","2.00","310","20","114","84","94","22","2017-01-15 15:01:28"
"24","2.00","316","20","114","84","95","22","2017-01-15 15:01:34"
"25","2.00","319","20","114","83","94","66","2017-01-15 15:01:38"
"26","2.00","325","20","114","85","85","149","2017-01-15 15:01:46"
"27","2.00","328","20","112","85","87","17","2017-01-15 15:01:50"
"28","2.00","334","20","115","86","89","19","2017-01-15 15:02:00"
"29","2.00","338","20","112","85","83","19","2017-01-15 15:02:06"
"30","2.00","341","20","111","87","88","219","2017-01-15 15:02:10"
"31","2.00","346","20","112","86","78","19","2017-01-15 15:02:18"
"32","2.00","349","20","115","86","87","19","2017-01-15 15:02:22"
"33","2.00","353","20","114","85","94","19","2017-01-15 15:02:28"
"34","2.00","357","20","114","85","95","19","2017-01-15 15:02:34"
"35","2.00","359","20","112","85","87","21","2017-01-15 15:02:36"
"36","2.00","362","20","112","84","91","20","2017-01-15 15:02:40"
"37","2.00","365","20","114","85","87","20","2017-01-15 15:02:44"
"38","2.00","366","20","114","84","97","20","2017-01-15 15:02:46"
"39","2.00","367","20","114","85","95","20","2017-01-15 15:02:48"
"40","2.00","369","20","114","84","95","20","2017-01-15 15:02:50"
"41","2.00","371","20","112","85","98","20","2017-01-15 15:02:52"
"42","2.00","372","20","112","84","75","15","2017-01-15 15:02:54"
"43","2.00","374","20","112","84","96","20","2017-01-15 15:02:56"
"44","2.00","378","20","112","85","88","39","2017-01-15 15:03:02"
"45","2.00","380","20","112","84","88","251","2017-01-15 15:03:04"
"46","2.00","382","20","112","84","97","23","2017-01-15 15:03:06"
"47","2.00","385","20","114","84","92","28","2017-01-15 15:03:08"
"48","2.00","387","20","114","84","97","153","2017-01-15 15:03:10"
"49","2.00","389","20","114","85","94","20","2017-01-15 15:03:12"
"50","2.00","393","20","114","84","96","20","2017-01-15 15:03:18"
"51","2.00","399","20","112","84","95","113","2017-01-15 15:03:26"
"52","2.00","401","20","112","85","87","37","2017-01-15 15:03:28"
"53","2.00","402","20","114","84","93","57","2017-01-15 15:03:30"
"54","2.00","404","20","115","84","98","20","2017-01-15 15:03:32"
"55","2.00","406","20","114","84","92","20","2017-01-15 15:03:34"
"56","2.00","409","20","118","84","96","169","2017-01-15 15:03:40"
"57","2.00","410","20","112","85","89","20","2017-01-15 15:03:40"
"58","2.00","412","20","114","84","98","20","2017-01-15 15:03:42"
"59","2.00","413","20","114","84","92","18","2017-01-15 15:03:44"
"60","2.00","414","20","114","84","97","20","2017-01-15 15:03:46"
"61","2.00","419","20","118","84","96","20","2017-01-15 15:03:50"
"62","2.00","421","20","115","84","98","20","2017-01-15 15:03:52"
"63","2.00","424","20","114","84","92","28","2017-01-15 15:03:54"
"64","2.00","427","20","114","84","97","20","2017-01-15 15:03:58"
"65","2.00","432","20","114","84","90","203","2017-01-15 15:04:04"
"66","2.00","436","20","114","84","99","36","2017-01-15 15:04:08"
"67","2.00","437","20","114","84","97","20","2017-01-15 15:04:10"
"68","2.00","441","20","114","84","96","68","2017-01-15 15:04:16"
"69","2.00","442","20","114","85","94","19","2017-01-15 15:04:16"
"70","2.00","448","20","115","84","90","22","2017-01-15 15:04:28"
"71","2.00","453","20","115","84","97","40","2017-01-15 15:04:36"
"72","2.00","456","20","114","84","89","20","2017-01-15 15:04:40"
"73","2.00","458","20","112","84","95","36","2017-01-15 15:04:42"
"74","2.00","459","20","114","84","95","20","2017-01-15 15:04:44"
"75","2.00","460","20","114","84","94","22","2017-01-15 15:04:46"
"76","2.00","461","20","114","84","96","114","2017-01-15 15:04:48"
"77","2.00","462","20","115","83","89","20","2017-01-15 15:04:50"
"78","2.00","464","20","112","84","97","20","2017-01-15 15:04:52"
"79","2.00","469","20","114","85","90","31","2017-01-15 15:04:58"
"80","2.00","470","20","112","83","103","105","2017-01-15 15:05:00"
"81","2.00","471","20","112","84","96","105","2017-01-15 15:05:02"
"82","2.00","478","20","112","84","93","67","2017-01-15 15:05:12"
"83","2.00","484","20","112","84","94","23","2017-01-15 15:05:22"
"84","2.00","485","20","112","84","94","25","2017-01-15 15:05:24"
"85","2.00","486","20","112","84","92","25","2017-01-15 15:05:26"
"86","2.00","489","20","112","83","94","41","2017-01-15 15:05:30"
"87","2.00","492","20","111","83","101","25","2017-01-15 15:05:34"
"88","2.00","493","20","114","82","93","402","2017-01-15 15:05:36"
"89","2.00","498","20","114","83","97","192","2017-01-15 15:05:44"
"90","2.00","505","20","114","83","90","25","2017-01-15 15:05:52"
"91","2.00","506","20","115","83","100","50","2017-01-15 15:05:52"
"92","2.00","513","20","114","83","100","25","2017-01-15 15:06:02"
"93","2.00","518","20","112","84","92","25","2017-01-15 15:06:08"
"94","2.00","520","20","112","84","92","25","2017-01-15 15:06:10"
"95","2.00","523","20","112","84","98","25","2017-01-15 15:06:14"
"96","2.00","525","20","112","84","93","25","2017-01-15 15:06:16"
"97","2.00","529","20","112","85","86","23","2017-01-15 15:06:20"
