"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","57","21","115","84","82","370","2016-12-16 08:51:31"
"2","2.00","58","21","114","83","101","22","2016-12-16 08:51:36"
"3","2.00","59","21","114","84","97","20","2016-12-16 08:51:41"
"4","2.00","60","21","114","84","93","846","2016-12-16 08:51:47"
"5","2.00","61","21","114","84","96","24","2016-12-16 08:51:51"
"6","2.00","62","21","115","84","91","241","2016-12-16 08:51:57"
"7","2.00","63","21","114","84","94","1052","2016-12-16 08:52:03"
"8","2.00","64","21","114","83","95","24","2016-12-16 08:52:07"
"9","2.00","65","21","114","84","92","570","2016-12-16 08:52:13"
"10","2.00","66","21","114","84","93","25","2016-12-16 08:52:17"
"11","2.00","67","21","112","85","98","123","2016-12-16 08:52:23"
"12","2.00","68","21","114","84","95","901","2016-12-16 08:52:29"
"13","2.00","69","21","114","84","94","38","2016-12-16 08:52:33"
"14","2.00","70","21","112","84","93","469","2016-12-16 08:52:39"
"15","2.00","71","21","114","84","91","24","2016-12-16 08:52:44"
"16","2.00","72","21","114","84","97","24","2016-12-16 08:52:49"
"17","2.00","73","21","112","84","96","757","2016-12-16 08:52:55"
"18","2.00","74","21","114","84","96","24","2016-12-16 08:52:59"
"19","2.00","75","21","111","85","95","354","2016-12-16 08:53:05"
"20","2.00","76","21","114","84","94","22","2016-12-16 08:53:10"
"21","2.00","77","21","112","85","98","24","2016-12-16 08:53:15"
"22","2.00","78","21","117","84","96","680","2016-12-16 08:53:21"
"23","2.00","79","21","114","85","96","24","2016-12-16 08:53:25"
"24","2.00","80","21","114","85","86","248","2016-12-16 08:53:31"
"25","2.00","81","21","115","84","102","967","2016-12-16 08:53:37"
"26","2.00","82","21","114","84","100","24","2016-12-16 08:53:41"
"27","2.00","83","21","112","84","96","539","2016-12-16 08:53:47"
"28","2.00","84","21","114","84","97","19","2016-12-16 08:53:51"
"29","2.00","85","21","114","84","96","45","2016-12-16 08:53:57"
"30","2.00","86","21","114","84","100","835","2016-12-16 08:54:03"
"31","2.00","87","21","114","83","101","24","2016-12-16 08:54:07"
"32","2.00","88","21","114","84","94","407","2016-12-16 08:54:13"
"33","2.00","89","21","114","85","97","24","2016-12-16 08:54:18"
"34","2.00","90","21","115","83","92","47","2016-12-16 08:54:23"
"35","2.00","91","21","114","85","98","741","2016-12-16 08:54:29"
"36","2.00","92","21","115","84","100","24","2016-12-16 08:54:33"
"37","2.00","93","21","112","84","99","248","2016-12-16 08:54:39"
"38","2.00","94","21","114","84","96","1029","2016-12-16 08:54:45"
"39","2.00","95","21","115","84","95","24","2016-12-16 08:54:49"
"40","2.00","96","21","114","84","98","656","2016-12-16 08:54:55"
"41","2.00","97","21","114","85","85","30","2016-12-16 08:54:59"
"42","2.00","98","21","114","84","97","115","2016-12-16 08:55:05"
"43","2.00","99","21","114","85","91","897","2016-12-16 08:55:11"
"44","2.00","100","21","114","84","94","24","2016-12-16 08:55:15"
"45","2.00","101","21","114","84","97","439","2016-12-16 08:55:21"
"46","2.00","102","21","114","84","94","120","2016-12-16 08:55:26"
"47","2.00","103","21","114","84","93","33","2016-12-16 08:55:31"
"48","2.00","104","21","114","85","91","788","2016-12-16 08:55:37"
"49","2.00","105","21","114","85","96","24","2016-12-16 08:55:41"
"50","2.00","106","21","114","85","98","321","2016-12-16 08:55:47"
"51","2.00","107","21","112","85","90","57","2016-12-16 08:55:52"
"52","2.00","108","21","114","83","101","35","2016-12-16 08:55:57"
"53","2.00","109","21","114","82","103","719","2016-12-16 08:56:03"
"54","2.00","110","21","114","84","99","213","2016-12-16 08:56:08"
"55","2.00","111","21","114","84","73","169","2016-12-16 08:56:13"
"56","2.00","112","21","114","82","96","969","2016-12-16 08:56:19"
"57","2.00","113","21","112","83","103","24","2016-12-16 08:56:23"
"58","2.00","114","21","111","84","99","603","2016-12-16 08:56:29"
"59","2.00","115","21","115","84","94","24","2016-12-16 08:56:34"
"60","2.00","116","21","114","84","95","27","2016-12-16 08:56:39"
"61","2.00","117","21","114","85","100","842","2016-12-16 08:56:45"
"62","2.00","118","21","112","83","100","24","2016-12-16 08:56:49"
"63","2.00","119","21","114","84","101","365","2016-12-16 08:56:55"
"64","2.00","120","21","114","84","98","24","2016-12-16 08:57:00"
"65","2.00","121","21","114","84","97","65","2016-12-16 08:57:05"
"66","2.00","122","21","112","84","97","777","2016-12-16 08:57:11"
"67","2.00","123","21","111","84","100","57","2016-12-16 08:57:15"
"68","2.00","124","21","117","85","92","294","2016-12-16 08:57:21"
"69","2.00","125","21","114","84","97","1072","2016-12-16 08:57:27"
"70","2.00","126","21","114","84","94","23","2016-12-16 08:57:31"
"71","2.00","127","21","114","84","101","645","2016-12-16 08:57:37"
"72","2.00","128","21","115","84","102","23","2016-12-16 08:57:41"
"73","2.00","129","21","115","83","98","106","2016-12-16 08:57:47"
"74","2.00","130","21","114","84","97","899","2016-12-16 08:57:53"
"75","2.00","131","21","112","84","97","46","2016-12-16 08:57:57"
"76","2.00","132","21","114","84","101","635","2016-12-16 08:58:03"
"77","2.00","133","21","114","85","97","23","2016-12-16 08:58:08"
"78","2.00","134","21","115","83","95","18","2016-12-16 08:58:13"
"79","2.00","135","21","115","84","92","732","2016-12-16 08:58:19"
"80","2.00","136","21","114","84","97","20","2016-12-16 08:58:23"
"81","2.00","137","21","114","84","89","380","2016-12-16 08:58:29"
"82","2.00","138","21","114","84","99","20","2016-12-16 08:58:34"
"83","2.00","139","21","115","84","95","121","2016-12-16 08:58:39"
"84","2.00","140","21","114","84","97","627","2016-12-16 08:58:45"
"85","2.00","141","21","114","84","101","20","2016-12-16 08:58:49"
"86","2.00","142","21","114","84","99","164","2016-12-16 08:58:55"
"87","2.00","143","21","115","83","99","993","2016-12-16 08:59:01"
"88","2.00","144","21","110","85","92","77","2016-12-16 08:59:05"
"89","2.00","145","21","114","86","80","602","2016-12-16 08:59:11"
"90","2.00","146","21","112","85","84","20","2016-12-16 08:59:16"
"91","2.00","147","21","110","85","98","46","2016-12-16 08:59:21"
"92","2.00","148","21","114","84","90","900","2016-12-16 08:59:27"
"93","2.00","149","21","112","85","96","20","2016-12-16 08:59:31"
"94","2.00","150","21","111","84","96","402","2016-12-16 08:59:37"
"95","2.00","151","21","112","84","95","20","2016-12-16 08:59:42"
"96","2.00","152","21","112","85","86","23","2016-12-16 08:59:47"
"97","2.00","153","21","112","84","97","678","2016-12-16 08:59:53"
"98","2.00","154","21","115","84","96","18","2016-12-16 08:59:57"
"99","2.00","155","21","114","85","96","274","2016-12-16 09:00:03"
"100","2.00","156","21","114","84","89","1056","2016-12-16 09:00:09"
"101","2.00","157","21","108","84","96","27","2016-12-16 09:00:13"
"102","2.00","158","21","112","85","93","595","2016-12-16 09:00:19"
"103","2.00","159","21","115","84","98","17","2016-12-16 09:00:23"
"104","2.00","160","21","114","84","103","202","2016-12-16 09:00:29"
"105","2.00","161","21","114","84","100","877","2016-12-16 09:00:35"
"106","2.00","162","21","114","84","95","27","2016-12-16 09:00:39"
"107","2.00","163","21","115","84","92","428","2016-12-16 09:00:45"
"108","2.00","164","21","115","83","98","24","2016-12-16 09:00:50"
"109","2.00","165","21","112","83","91","39","2016-12-16 09:00:55"
"110","2.00","166","21","115","84","96","1114","2016-12-16 09:01:01"
"111","2.00","167","21","114","85","94","45","2016-12-16 09:01:05"
"112","2.00","168","21","114","85","96","344","2016-12-16 09:01:11"
"113","2.00","169","21","117","84","99","24","2016-12-16 09:01:16"
"114","2.00","170","21","112","84","93","51","2016-12-16 09:01:21"
"115","2.00","171","21","114","84","95","665","2016-12-16 09:01:27"
"116","2.00","172","21","112","84","91","23","2016-12-16 09:01:31"
"117","2.00","173","21","114","84","96","212","2016-12-16 09:01:37"
"118","2.00","174","21","114","84","91","1120","2016-12-16 09:01:43"
"119","2.00","175","21","114","83","81","343","2016-12-16 09:01:47"
"120","2.00","176","21","114","85","98","511","2016-12-16 09:01:53"
"121","2.00","177","21","112","84","97","40","2016-12-16 09:01:58"
"122","2.00","178","21","114","84","94","18","2016-12-16 09:02:03"
"123","2.00","179","21","114","84","98","828","2016-12-16 09:02:09"
"124","2.00","180","21","114","84","96","25","2016-12-16 09:02:13"
"125","2.00","181","21","114","84","92","376","2016-12-16 09:02:19"
"126","2.00","182","21","114","84","99","103","2016-12-16 09:02:24"
"127","2.00","183","21","114","84","101","58","2016-12-16 09:02:29"
"128","2.00","184","21","114","84","69","680","2016-12-16 09:02:35"
"129","2.00","185","21","114","84","94","24","2016-12-16 09:02:39"
"130","2.00","186","21","114","84","100","316","2016-12-16 09:02:45"
"131","2.00","187","21","114","83","93","1057","2016-12-16 09:02:51"
"132","2.00","188","21","114","85","98","24","2016-12-16 09:02:55"
"133","2.00","189","21","114","84","101","587","2016-12-16 09:03:01"
"134","2.00","190","21","114","83","97","158","2016-12-16 09:03:06"
"135","2.00","191","21","114","84","101","189","2016-12-16 09:03:11"
"136","2.00","192","21","114","84","97","925","2016-12-16 09:03:17"
"137","2.00","193","21","114","85","95","160","2016-12-16 09:03:21"
"138","2.00","194","21","114","84","92","413","2016-12-16 09:03:27"
"139","2.00","195","21","114","84","99","27","2016-12-16 09:03:32"
"140","2.00","196","21","114","84","100","32","2016-12-16 09:03:37"
"141","2.00","197","21","114","84","95","766","2016-12-16 09:03:43"
"142","2.00","198","21","112","83","97","30","2016-12-16 09:03:47"
"143","2.00","199","21","115","84","95","439","2016-12-16 09:03:53"
"144","2.00","200","21","114","84","95","1120","2016-12-16 09:03:59"
"145","2.00","201","21","114","84","100","30","2016-12-16 09:04:03"
"146","2.00","202","21","114","83","96","599","2016-12-16 09:04:09"
"147","2.00","203","21","114","84","100","24","2016-12-16 09:04:13"
"148","2.00","204","21","112","84","102","276","2016-12-16 09:04:19"
"149","2.00","205","21","114","84","99","1035","2016-12-16 09:04:25"
"150","2.00","206","21","114","84","92","24","2016-12-16 09:04:29"
"151","2.00","207","21","115","85","98","508","2016-12-16 09:04:35"
"152","2.00","208","21","112","85","101","26","2016-12-16 09:04:40"
"153","2.00","209","21","115","84","101","26","2016-12-16 09:04:45"
"154","2.00","210","21","114","84","99","813","2016-12-16 09:04:51"
"155","2.00","211","21","114","84","95","214","2016-12-16 09:04:55"
"156","2.00","212","21","112","84","92","391","2016-12-16 09:05:01"
"157","2.00","213","21","114","83","93","24","2016-12-16 09:05:06"
"158","2.00","214","21","114","84","96","34","2016-12-16 09:05:11"
"159","2.00","215","21","114","83","95","743","2016-12-16 09:05:17"
"160","2.00","216","21","114","84","96","24","2016-12-16 09:05:21"
"161","2.00","217","21","111","83","100","320","2016-12-16 09:05:27"
"162","2.00","218","21","117","83","101","985","2016-12-16 09:05:33"
"163","2.00","219","21","114","83","97","23","2016-12-16 09:05:37"
"164","2.00","220","21","114","84","94","570","2016-12-16 09:05:43"
"165","2.00","221","21","114","85","90","58","2016-12-16 09:05:48"
"166","2.00","222","21","114","84","84","167","2016-12-16 09:05:53"
"167","2.00","223","21","114","84","98","906","2016-12-16 09:05:59"
"168","2.00","224","21","115","85","92","23","2016-12-16 09:06:03"
"169","2.00","225","21","114","85","94","557","2016-12-16 09:06:09"
"170","2.00","226","21","114","84","93","33","2016-12-16 09:06:14"
"171","2.00","227","21","114","85","97","23","2016-12-16 09:06:19"
"172","2.00","228","21","114","85","90","734","2016-12-16 09:06:25"
"173","2.00","229","21","114","85","100","261","2016-12-16 09:06:30"
"174","2.00","230","21","112","85","91","310","2016-12-16 09:06:35"
"175","2.00","231","21","114","85","85","23","2016-12-16 09:06:40"
"176","2.00","232","21","114","85","88","31","2016-12-16 09:06:45"
"177","2.00","233","21","114","85","95","724","2016-12-16 09:06:51"
"178","2.00","234","21","114","85","95","23","2016-12-16 09:06:55"
"179","2.00","235","21","114","85","90","324","2016-12-16 09:07:01"
"180","2.00","236","21","112","84","94","921","2016-12-16 09:07:07"
"181","2.00","237","21","114","85","100","24","2016-12-16 09:07:11"
"182","2.00","238","21","115","84","98","468","2016-12-16 09:07:17"
"183","2.00","239","21","114","84","96","23","2016-12-16 09:07:22"
"184","2.00","240","21","114","84","95","26","2016-12-16 09:07:27"
"185","2.00","241","21","114","84","91","843","2016-12-16 09:07:33"
"186","2.00","242","21","115","85","94","23","2016-12-16 09:07:37"
"187","2.00","243","21","112","84","100","344","2016-12-16 09:07:43"
"188","2.00","244","21","112","84","90","23","2016-12-16 09:07:48"
"189","2.00","245","21","114","84","96","58","2016-12-16 09:07:53"
"190","2.00","246","21","114","84","97","699","2016-12-16 09:07:59"
"191","2.00","247","21","114","85","96","22","2016-12-16 09:08:03"
"192","2.00","248","21","112","84","92","236","2016-12-16 09:08:09"
"193","2.00","249","21","114","84","81","977","2016-12-16 09:08:15"
"194","2.00","250","21","114","85","96","40","2016-12-16 09:08:19"
"195","2.00","251","21","114","84","91","666","2016-12-16 09:08:25"
"196","2.00","252","21","114","84","94","31","2016-12-16 09:08:30"
"197","2.00","253","21","114","85","94","92","2016-12-16 09:08:35"
"198","2.00","254","21","112","85","93","880","2016-12-16 09:08:41"
"199","2.00","255","21","111","85","99","23","2016-12-16 09:08:45"
"200","2.00","256","21","112","84","97","438","2016-12-16 09:08:51"
"201","2.00","257","21","114","85","96","26","2016-12-16 09:08:56"
"202","2.00","258","21","112","85","93","39","2016-12-16 09:09:01"
"203","2.00","259","21","114","85","95","731","2016-12-16 09:09:07"
"204","2.00","260","21","114","85","92","23","2016-12-16 09:09:11"
"205","2.00","261","21","114","84","91","289","2016-12-16 09:09:17"
"206","2.00","262","21","112","85","97","1339","2016-12-16 09:09:23"
"207","2.00","263","21","114","85","80","23","2016-12-16 09:09:27"
"208","2.00","264","21","114","86","88","671","2016-12-16 09:09:33"
"209","2.00","265","21","112","85","97","23","2016-12-16 09:09:37"
"210","2.00","266","21","115","85","92","139","2016-12-16 09:09:43"
"211","2.00","267","21","114","85","94","913","2016-12-16 09:09:49"
"212","2.00","268","21","112","85","96","105","2016-12-16 09:09:53"
"213","2.00","269","21","114","85","95","508","2016-12-16 09:09:59"
"214","2.00","270","21","114","85","94","23","2016-12-16 09:10:04"
"215","2.00","271","21","114","85","94","26","2016-12-16 09:10:09"
"216","2.00","272","21","112","85","92","937","2016-12-16 09:10:15"
"217","2.00","273","21","114","85","94","23","2016-12-16 09:10:19"
"218","2.00","274","21","115","85","98","399","2016-12-16 09:10:25"
"219","2.00","275","21","114","85","87","40","2016-12-16 09:10:30"
"220","2.00","276","21","115","85","96","23","2016-12-16 09:10:35"
"221","2.00","277","21","114","85","96","710","2016-12-16 09:10:41"
"222","2.00","278","21","114","85","95","26","2016-12-16 09:10:45"
"223","2.00","279","21","114","85","87","275","2016-12-16 09:10:51"
