"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","3426","20","114","83","75","60","2017-01-16 10:26:47"
"2","2.00","3427","20","111","82","68","34","2017-01-16 10:26:47"
"3","2.00","3428","20","114","82","76","55","2017-01-16 10:26:49"
"4","2.00","3430","20","114","81","101","227","2017-01-16 10:26:52"
"5","2.00","3432","20","114","82","94","53","2017-01-16 10:26:54"
"6","2.00","3434","20","114","81","80","34","2017-01-16 10:26:56"
"7","2.00","3436","20","114","81","69","55","2017-01-16 10:26:58"
"8","2.00","3447","20","114","83","88","132","2017-01-16 10:27:16"
"9","2.00","3455","20","114","82","96","1066","2017-01-16 10:27:28"
"10","2.00","3457","20","114","81","81","83","2017-01-16 10:27:31"
"11","2.00","3458","20","115","81","71","91","2017-01-16 10:27:31"
"12","2.00","3459","20","114","82","79","434","2017-01-16 10:27:32"
"13","2.00","3460","20","117","83","100","164","2017-01-16 10:27:34"
"14","2.00","3461","20","114","81","98","182","2017-01-16 10:27:36"
"15","2.00","3462","20","114","81","98","231","2017-01-16 10:27:38"
"16","2.00","3464","20","114","82","89","124","2017-01-16 10:27:40"
"17","2.00","3466","20","112","81","95","510","2017-01-16 10:27:44"
"18","2.00","3467","20","114","82","95","58","2017-01-16 10:27:46"
"19","2.00","3470","20","112","81","101","33","2017-01-16 10:27:50"
"20","2.00","3471","20","118","80","80","124","2017-01-16 10:27:52"
"21","2.00","3472","20","114","80","62","484","2017-01-16 10:27:54"
"22","2.00","3481","20","114","86","62","180","2017-01-16 10:28:05"
"23","2.00","3486","20","114","84","80","86","2017-01-16 10:28:14"
"24","2.00","3496","20","112","84","96","275","2017-01-16 10:28:24"
"25","2.00","3508","20","112","84","74","466","2017-01-16 10:28:42"
"26","2.00","3510","20","112","84","91","34","2017-01-16 10:28:44"
"27","2.00","3511","20","115","83","81","432","2017-01-16 10:28:46"
"28","2.00","3514","20","112","84","82","198","2017-01-16 10:28:52"
"29","2.00","3522","20","114","84","99","824","2017-01-16 10:29:06"
"30","2.00","3523","20","114","84","98","587","2017-01-16 10:29:08"
