"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","299","20","114","85","87","20","2017-01-15 13:19:26"
"2","2.00","300","20","114","86","78","22","2017-01-15 13:19:28"
"3","2.00","301","20","114","86","80","20","2017-01-15 13:19:29"
"4","2.00","302","20","115","86","83","19","2017-01-15 13:19:31"
"5","2.00","303","20","112","85","81","22","2017-01-15 13:19:32"
"6","2.00","304","20","115","87","73","29","2017-01-15 13:19:34"
"7","2.00","305","20","114","86","83","20","2017-01-15 13:19:34"
"8","2.00","310","20","115","84","93","62","2017-01-15 13:19:42"
"9","2.00","311","20","115","83","87","24","2017-01-15 13:19:42"
"10","2.00","312","20","114","84","89","29","2017-01-15 13:19:44"
"11","2.00","315","20","114","85","91","28","2017-01-15 13:19:48"
"12","2.00","318","20","114","86","73","17","2017-01-15 13:19:50"
"13","2.00","320","20","114","86","74","20","2017-01-15 13:19:52"
"14","2.00","321","20","112","86","69","35","2017-01-15 13:19:54"
"15","2.00","322","20","114","86","73","16","2017-01-15 13:19:54"
"16","2.00","324","20","112","87","80","24","2017-01-15 13:19:56"
"17","2.00","328","20","115","85","84","19","2017-01-15 13:20:01"
"18","2.00","329","20","115","87","65","71","2017-01-15 13:20:02"
"19","2.00","332","20","114","87","70","20","2017-01-15 13:20:08"
"20","2.00","333","20","114","86","75","79","2017-01-15 13:20:10"
"21","2.00","334","20","114","86","79","22","2017-01-15 13:20:12"
"22","2.00","335","20","112","86","72","21","2017-01-15 13:20:12"
"23","2.00","339","20","112","85","95","78","2017-01-15 13:20:19"
"24","2.00","340","20","112","84","92","20","2017-01-15 13:20:21"
"25","2.00","341","20","112","83","103","785","2017-01-15 13:20:22"
"26","2.00","345","20","111","85","84","20","2017-01-15 13:20:26"
"27","2.00","346","20","114","85","76","152","2017-01-15 13:20:28"
"28","2.00","348","20","114","84","89","20","2017-01-15 13:20:30"
"29","2.00","352","20","114","84","81","36","2017-01-15 13:20:35"
"30","2.00","355","20","114","84","88","35","2017-01-15 13:20:38"
"31","2.00","356","20","112","85","82","16","2017-01-15 13:20:38"
"32","2.00","358","20","112","84","89","23","2017-01-15 13:20:41"
"33","2.00","359","20","114","85","78","20","2017-01-15 13:20:42"
"34","2.00","360","20","114","84","81","19","2017-01-15 13:20:44"
"35","2.00","361","20","112","84","88","101","2017-01-15 13:20:46"
"36","2.00","366","20","115","84","90","102","2017-01-15 13:20:56"
"37","2.00","367","20","112","83","95","22","2017-01-15 13:20:56"
"38","2.00","369","20","115","83","96","62","2017-01-15 13:20:58"
"39","2.00","371","20","114","84","101","20","2017-01-15 13:21:00"
"40","2.00","375","20","114","83","96","40","2017-01-15 13:21:06"
"41","2.00","376","20","112","83","99","63","2017-01-15 13:21:08"
"42","2.00","377","20","114","83","103","16","2017-01-15 13:21:08"
"43","2.00","378","20","114","82","97","78","2017-01-15 13:21:10"
"44","2.00","381","20","114","83","91","16","2017-01-15 13:21:15"
"45","2.00","382","20","114","83","101","67","2017-01-15 13:21:16"
"46","2.00","383","20","114","83","101","43","2017-01-15 13:21:18"
"47","2.00","386","20","114","83","100","141","2017-01-15 13:21:22"
"48","2.00","390","20","115","82","102","20","2017-01-15 13:21:28"
"49","2.00","393","20","112","83","103","70","2017-01-15 13:21:32"
"50","2.00","394","20","115","83","104","39","2017-01-15 13:21:34"
"51","2.00","395","20","114","83","100","110","2017-01-15 13:21:36"
"52","2.00","396","20","110","83","105","169","2017-01-15 13:21:38"
"53","2.00","397","20","115","82","105","19","2017-01-15 13:21:39"
"54","2.00","404","20","114","83","97","19","2017-01-15 13:21:52"
"55","2.00","405","20","114","83","100","19","2017-01-15 13:21:52"
"56","2.00","407","20","112","83","98","58","2017-01-15 13:21:55"
