"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","310","20","115","84","61","67","2017-01-06 13:29:42"
"2","2.00","311","20","114","85","60","180","2017-01-06 13:29:44"
"3","2.00","313","20","115","84","68","1220","2017-01-06 13:29:49"
"4","2.00","316","20","112","84","72","183","2017-01-06 13:29:54"
"5","2.00","321","20","115","85","76","772","2017-01-06 13:30:05"
"6","2.00","324","20","114","86","57","153","2017-01-06 13:30:12"
"7","2.00","325","20","114","86","71","701","2017-01-06 13:30:14"
"8","2.00","330","20","114","86","59","863","2017-01-06 13:30:24"
"9","2.00","338","20","112","85","74","109","2017-01-06 13:30:40"
"10","2.00","352","20","114","86","68","70","2017-01-06 13:31:06"
"11","2.00","355","20","115","86","74","987","2017-01-06 13:31:11"
"12","2.00","363","20","115","84","77","63","2017-01-06 13:31:28"
"13","2.00","366","20","112","83","64","276","2017-01-06 13:31:34"
"14","2.00","372","20","114","85","62","219","2017-01-06 13:31:46"
"15","2.00","374","20","114","86","89","229","2017-01-06 13:31:49"
"16","2.00","375","20","114","86","86","50","2017-01-06 13:31:50"
"17","2.00","376","20","112","85","90","1115","2017-01-06 13:31:52"
"18","2.00","377","20","114","86","80","52","2017-01-06 13:31:52"
"19","2.00","378","20","114","87","69","1045","2017-01-06 13:31:53"
"20","2.00","379","20","114","85","78","322","2017-01-06 13:31:55"
"21","2.00","381","20","115","86","72","894","2017-01-06 13:31:59"
"22","2.00","382","20","114","86","82","57","2017-01-06 13:32:00"
"23","2.00","383","20","114","84","87","1072","2017-01-06 13:32:01"
"24","2.00","385","20","115","85","94","218","2017-01-06 13:32:04"
"25","2.00","386","20","115","85","92","600","2017-01-06 13:32:06"
"26","2.00","387","20","114","87","73","62","2017-01-06 13:32:08"
"27","2.00","388","20","115","89","82","70","2017-01-06 13:32:10"
"28","2.00","389","20","115","86","83","223","2017-01-06 13:32:11"
"29","2.00","390","20","114","88","83","68","2017-01-06 13:32:14"
"30","2.00","391","20","115","86","91","941","2017-01-06 13:32:16"
"31","2.00","392","20","115","88","86","655","2017-01-06 13:32:18"
"32","2.00","394","20","114","87","67","1036","2017-01-06 13:32:22"
"33","2.00","395","20","114","85","89","136","2017-01-06 13:32:23"
"34","2.00","396","20","115","86","88","88","2017-01-06 13:32:26"
"35","2.00","397","20","114","86","87","1010","2017-01-06 13:32:27"
"36","2.00","398","20","111","86","85","98","2017-01-06 13:32:28"
"37","2.00","399","20","114","87","72","68","2017-01-06 13:32:30"
"38","2.00","400","20","114","86","90","943","2017-01-06 13:32:31"
"39","2.00","402","20","115","85","92","283","2017-01-06 13:32:35"
"40","2.00","403","20","115","86","90","487","2017-01-06 13:32:38"
"41","2.00","404","20","114","86","82","64","2017-01-06 13:32:38"
"42","2.00","406","20","115","86","85","1049","2017-01-06 13:32:44"
"43","2.00","408","20","114","86","81","226","2017-01-06 13:32:48"
"44","2.00","409","20","114","86","89","612","2017-01-06 13:32:49"
"45","2.00","410","20","114","86","79","49","2017-01-06 13:32:50"
"46","2.00","412","20","114","85","87","50","2017-01-06 13:32:54"
"47","2.00","414","20","114","83","100","50","2017-01-06 13:32:56"
"48","2.00","415","20","114","88","65","116","2017-01-06 13:32:58"
"49","2.00","416","20","117","86","80","968","2017-01-06 13:33:00"
"50","2.00","418","20","115","85","95","740","2017-01-06 13:33:04"
"51","2.00","419","20","114","86","76","769","2017-01-06 13:33:06"
"52","2.00","421","20","117","88","71","115","2017-01-06 13:33:08"
"53","2.00","424","20","114","86","88","326","2017-01-06 13:33:15"
"54","2.00","425","20","115","85","86","169","2017-01-06 13:33:18"
"55","2.00","426","20","114","85","93","709","2017-01-06 13:33:20"
"56","2.00","427","20","114","86","79","518","2017-01-06 13:33:22"
"57","2.00","428","20","114","86","92","650","2017-01-06 13:33:24"
"58","2.00","429","20","114","86","78","192","2017-01-06 13:33:26"
"59","2.00","430","20","114","85","85","1019","2017-01-06 13:33:28"
"60","2.00","432","20","115","86","89","738","2017-01-06 13:33:32"
"61","2.00","433","20","115","86","88","105","2017-01-06 13:33:33"
"62","2.00","434","20","114","85","80","49","2017-01-06 13:33:34"
"63","2.00","435","20","112","86","87","74","2017-01-06 13:33:36"
"64","2.00","436","20","114","85","83","57","2017-01-06 13:33:36"
"65","2.00","437","20","115","86","79","1026","2017-01-06 13:33:38"
"66","2.00","439","20","114","86","67","62","2017-01-06 13:33:40"
"67","2.00","441","20","115","86","78","651","2017-01-06 13:33:44"
"68","2.00","442","20","114","85","81","49","2017-01-06 13:33:46"
"69","2.00","443","20","114","86","88","1089","2017-01-06 13:33:48"
"70","2.00","444","20","117","87","86","83","2017-01-06 13:33:50"
"71","2.00","445","20","114","86","80","573","2017-01-06 13:33:51"
"72","2.00","446","20","114","85","80","720","2017-01-06 13:33:53"
"73","2.00","447","20","115","86","78","745","2017-01-06 13:33:55"
"74","2.00","448","20","114","86","85","1247","2017-01-06 13:33:58"
"75","2.00","449","20","114","86","85","533","2017-01-06 13:33:59"
"76","2.00","450","20","114","86","84","169","2017-01-06 13:34:01"
"77","2.00","451","20","115","86","84","92","2017-01-06 13:34:03"
"78","2.00","452","20","114","86","95","573","2017-01-06 13:34:06"
