"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","102","20","114","83","99","241","2016-12-22 14:35:53"
"2","2.00","103","20","115","84","92","543","2016-12-22 14:35:55"
"3","2.00","104","20","115","85","93","17","2016-12-22 14:35:55"
"4","2.00","105","20","114","84","85","25","2016-12-22 14:35:57"
"5","2.00","106","20","115","85","87","23","2016-12-22 14:35:59"
"6","2.00","107","20","114","85","79","23","2016-12-22 14:35:59"
"7","2.00","108","20","114","85","84","23","2016-12-22 14:35:59"
"8","2.00","110","20","115","84","98","227","2016-12-22 14:36:01"
"9","2.00","111","20","114","84","81","17","2016-12-22 14:36:01"
"10","2.00","113","20","114","84","93","57","2016-12-22 14:36:04"
"11","2.00","114","20","112","85","84","132","2016-12-22 14:36:05"
"12","2.00","115","20","115","84","88","38","2016-12-22 14:36:06"
"13","2.00","116","20","112","84","85","63","2016-12-22 14:36:07"
"14","2.00","118","20","114","85","85","23","2016-12-22 14:36:09"
"15","2.00","120","20","114","83","102","23","2016-12-22 14:36:11"
"16","2.00","121","20","111","83","73","22","2016-12-22 14:36:11"
"17","2.00","122","20","115","83","103","1053","2016-12-22 14:36:13"
"18","2.00","123","20","112","82","91","326","2016-12-22 14:36:15"
"19","2.00","124","20","115","83","98","19","2016-12-22 14:36:15"
"20","2.00","125","20","111","83","96","86","2016-12-22 14:36:17"
"21","2.00","126","20","114","84","88","22","2016-12-22 14:36:17"
"22","2.00","127","20","114","83","102","135","2016-12-22 14:36:19"
"23","2.00","128","20","114","84","87","22","2016-12-22 14:36:20"
"24","2.00","129","20","114","85","83","74","2016-12-22 14:36:21"
"25","2.00","130","20","112","84","88","44","2016-12-22 14:36:23"
"26","2.00","131","20","114","85","91","25","2016-12-22 14:36:23"
"27","2.00","132","20","114","85","81","17","2016-12-22 14:36:26"
"28","2.00","133","20","114","84","80","22","2016-12-22 14:36:27"
"29","2.00","134","20","114","85","81","22","2016-12-22 14:36:29"
"30","2.00","136","20","112","84","91","22","2016-12-22 14:36:31"
"31","2.00","137","20","115","85","87","135","2016-12-22 14:36:33"
"32","2.00","138","20","114","85","86","17","2016-12-22 14:36:33"
"33","2.00","139","20","114","85","84","23","2016-12-22 14:36:35"
"34","2.00","141","20","114","84","85","23","2016-12-22 14:36:37"
"35","2.00","151","20","112","83","102","23","2016-12-22 14:36:53"
"36","2.00","152","20","114","84","81","16","2016-12-22 14:36:55"
"37","2.00","153","20","112","84","94","17","2016-12-22 14:36:57"
"38","2.00","154","20","115","83","95","1186","2016-12-22 14:36:59"
"39","2.00","155","20","115","83","91","17","2016-12-22 14:37:01"
"40","2.00","157","20","114","83","96","22","2016-12-22 14:37:03"
"41","2.00","158","20","114","83","82","424","2016-12-22 14:37:05"
"42","2.00","159","20","114","83","95","22","2016-12-22 14:37:05"
"43","2.00","160","20","115","83","95","22","2016-12-22 14:37:07"
"44","2.00","161","20","114","83","98","19","2016-12-22 14:37:09"
"45","2.00","162","20","114","84","91","162","2016-12-22 14:37:11"
"46","2.00","163","20","114","84","89","18","2016-12-22 14:37:11"
"47","2.00","164","20","114","84","97","683","2016-12-22 14:37:13"
"48","2.00","165","20","112","83","97","65","2016-12-22 14:37:13"
"49","2.00","166","20","114","84","99","407","2016-12-22 14:37:15"
"50","2.00","172","20","114","84","85","17","2016-12-22 14:37:21"
"51","2.00","173","20","114","84","83","17","2016-12-22 14:37:21"
