"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","227","20","114","84","85","20","2017-01-15 15:49:17"
"2","2.00","228","20","115","86","81","46","2017-01-15 15:49:19"
"3","2.00","229","20","112","83","92","216","2017-01-15 15:49:21"
"4","2.00","231","20","114","83","92","86","2017-01-15 15:49:23"
"5","2.00","232","20","112","83","102","44","2017-01-15 15:49:25"
"6","2.00","233","20","112","84","97","20","2017-01-15 15:49:27"
"7","2.00","236","20","112","83","97","55","2017-01-15 15:49:29"
"8","2.00","237","20","114","83","95","39","2017-01-15 15:49:31"
"9","2.00","238","20","110","83","97","99","2017-01-15 15:49:33"
"10","2.00","239","20","114","83","99","23","2017-01-15 15:49:33"
"11","2.00","242","20","114","85","94","20","2017-01-15 15:49:35"
"12","2.00","246","20","114","84","97","99","2017-01-15 15:49:41"
"13","2.00","247","20","114","84","94","119","2017-01-15 15:49:43"
"14","2.00","253","20","114","85","86","20","2017-01-15 15:49:51"
"15","2.00","260","20","114","84","98","20","2017-01-15 15:49:57"
"16","2.00","263","20","114","83","97","62","2017-01-15 15:50:01"
"17","2.00","265","20","112","84","88","86","2017-01-15 15:50:03"
"18","2.00","269","20","114","84","94","97","2017-01-15 15:50:11"
"19","2.00","273","20","114","83","97","105","2017-01-15 15:50:17"
"20","2.00","276","20","114","83","94","160","2017-01-15 15:50:21"
"21","2.00","279","20","112","83","100","19","2017-01-15 15:50:23"
"22","2.00","280","20","112","84","96","19","2017-01-15 15:50:25"
"23","2.00","281","20","115","83","99","54","2017-01-15 15:50:27"
"24","2.00","285","20","114","84","96","83","2017-01-15 15:50:33"
"25","2.00","286","20","112","84","91","21","2017-01-15 15:50:33"
"26","2.00","287","20","114","83","100","19","2017-01-15 15:50:35"
"27","2.00","288","20","112","83","100","19","2017-01-15 15:50:37"
"28","2.00","290","20","112","83","94","121","2017-01-15 15:50:39"
"29","2.00","291","20","114","84","96","35","2017-01-15 15:50:41"
"30","2.00","296","20","114","84","95","320","2017-01-15 15:50:49"
"31","2.00","305","20","114","83","100","19","2017-01-15 15:51:05"
"32","2.00","310","20","114","83","100","20","2017-01-15 15:51:11"
"33","2.00","317","20","112","83","101","20","2017-01-15 15:51:23"
"34","2.00","329","20","114","82","99","24","2017-01-15 15:51:37"
"35","2.00","332","20","111","83","94","122","2017-01-15 15:51:41"
"36","2.00","339","20","114","83","92","19","2017-01-15 15:51:51"
"37","2.00","348","20","114","83","101","289","2017-01-15 15:52:03"
"38","2.00","353","20","114","83","99","19","2017-01-15 15:52:07"
"39","2.00","354","20","114","83","95","44","2017-01-15 15:52:09"
"40","2.00","359","20","114","83","99","31","2017-01-15 15:52:15"
"41","2.00","364","20","114","83","99","257","2017-01-15 15:52:21"
"42","2.00","368","20","114","83","92","16","2017-01-15 15:52:25"
"43","2.00","369","20","112","83","101","171","2017-01-15 15:52:27"
"44","2.00","382","20","114","83","101","22","2017-01-15 15:52:47"
"45","2.00","389","20","114","80","97","128","2017-01-15 15:52:57"
"46","2.00","392","20","114","83","100","19","2017-01-15 15:53:01"
"47","2.00","400","20","114","81","104","20","2017-01-15 15:53:15"
"48","2.00","403","20","114","83","100","130","2017-01-15 15:53:19"
"49","2.00","406","20","112","83","95","27","2017-01-15 15:53:23"
"50","2.00","407","20","115","83","98","122","2017-01-15 15:53:25"
"51","2.00","411","20","114","83","101","20","2017-01-15 15:53:31"
"52","2.00","412","20","114","83","102","20","2017-01-15 15:53:33"
"53","2.00","417","20","114","83","99","19","2017-01-15 15:53:39"
"54","2.00","418","20","112","83","100","20","2017-01-15 15:53:41"
"55","2.00","421","20","114","84","93","20","2017-01-15 15:53:45"
"56","2.00","423","20","114","83","100","114","2017-01-15 15:53:49"
"57","2.00","426","20","115","83","98","95","2017-01-15 15:53:53"
"58","2.00","430","20","114","83","103","17","2017-01-15 15:53:57"
"59","2.00","431","20","114","83","97","20","2017-01-15 15:53:57"
"60","2.00","457","20","115","83","90","19","2017-01-15 15:54:33"
"61","2.00","461","20","114","83","93","145","2017-01-15 15:54:39"
"62","2.00","462","20","115","83","101","94","2017-01-15 15:54:41"
"63","2.00","470","20","115","83","79","28","2017-01-15 15:54:53"
"64","2.00","478","20","115","83","100","274","2017-01-15 15:55:05"
"65","2.00","479","20","114","83","86","17","2017-01-15 15:55:07"
"66","2.00","488","20","114","83","99","20","2017-01-15 15:55:21"
"67","2.00","489","20","114","83","94","20","2017-01-15 15:55:21"
"68","2.00","494","20","114","83","98","70","2017-01-15 15:55:29"
"69","2.00","497","20","114","83","101","161","2017-01-15 15:55:33"
"70","2.00","502","20","114","82","98","19","2017-01-15 15:55:39"
"71","2.00","507","20","114","84","96","19","2017-01-15 15:55:47"
"72","2.00","508","20","115","84","99","20","2017-01-15 15:55:49"
"73","2.00","509","20","114","83","91","20","2017-01-15 15:55:51"
"74","2.00","514","20","112","83","94","22","2017-01-15 15:55:57"
"75","2.00","521","20","114","83","92","19","2017-01-15 15:56:09"
"76","2.00","523","20","114","83","87","141","2017-01-15 15:56:13"
"77","2.00","525","20","115","83","91","18","2017-01-15 15:56:15"
"78","2.00","529","20","114","83","89","28","2017-01-15 15:56:21"
"79","2.00","534","20","114","83","95","19","2017-01-15 15:56:29"
"80","2.00","535","20","114","83","100","22","2017-01-15 15:56:31"
"81","2.00","537","20","115","84","102","124","2017-01-15 15:56:33"
"82","2.00","539","20","114","84","92","19","2017-01-15 15:56:35"
"83","2.00","544","20","114","83","88","171","2017-01-15 15:56:41"
